ISO3,Country,Year,Hypertension_Pct,Hypertension_Diagnosed_Pct,Hypertension_Treated_Pct,Hypertension_Controlled_Pct,Untreated_Stage2_Pct
FSM,Micronesia (Federated States of),2005,0.29760179180969104,0.39251150500917453,0.2393910469367605,0.09422282005779645,0.242749734079426
FSM,Micronesia (Federated States of),2006,0.3001256547025515,0.400017221894714,0.24305631984550702,0.09737387401535585,0.242721215156239
FSM,Micronesia (Federated States of),2007,0.30302831916857054,0.407812542788207,0.2465399088352715,0.1002933589361229,0.2430074917444075
FSM,Micronesia (Federated States of),2008,0.306128324229169,0.41587992507898797,0.2498583188429685,0.10292025252711709,0.24360709833363198
FSM,Micronesia (Federated States of),2009,0.309266217845671,0.424052379302022,0.25299103413271,0.1053467113085015,0.244415587769665
FSM,Micronesia (Federated States of),2010,0.31215487744882997,0.432356844929577,0.2559791855212325,0.10775892919123395,0.24533668378172802
FSM,Micronesia (Federated States of),2011,0.3147157311885995,0.440538884382346,0.2587955690174985,0.11019542312849485,0.246378378308775
FSM,Micronesia (Federated States of),2012,0.3169248669757565,0.44851285631153603,0.26143288664722053,0.11271288628789611,0.2475920240900935
FSM,Micronesia (Federated States of),2013,0.3187990910344135,0.4564146788391935,0.263839082347266,0.11538805352390599,0.2489557416902165
FSM,Micronesia (Federated States of),2014,0.32044175031473,0.46424544849585403,0.266051287678402,0.1181822515112905,0.250487860036856
FSM,Micronesia (Federated States of),2015,0.321929716386898,0.4718738489074595,0.26808271816093,0.12107898265730349,0.2521718908078375
FSM,Micronesia (Federated States of),2016,0.323380631914615,0.47938362256998146,0.2701823903589035,0.12412833373777601,0.2539361748840235
FSM,Micronesia (Federated States of),2017,0.324940215840483,0.48649951669171654,0.27200225228221697,0.1271524458816765,0.255883008693391
FSM,Micronesia (Federated States of),2018,0.326492269133073,0.4935025605783905,0.273979890189886,0.130692848434651,0.25795185516875596
FSM,Micronesia (Federated States of),2019,0.3281049204980785,0.500393517261133,0.2760554808276985,0.134688512762493,0.260151095653361
