ISO3,Country,Year,Underweight_Pct,HealthyWeight_Pct,Overweight_Pct,Obesity_Pct,Class1_Obesity_Pct,Class2_Obesity_Pct,Morbid_Obesity_Pct,Diabetes_Pct,Diabetes_Treated_Pct,Hypertension_Pct,Hypertension_Diagnosed_Pct,Hypertension_Treated_Pct,Hypertension_Controlled_Pct,Untreated_Stage2_Pct,Dietary_Energy_kcal,Fat_g,Protein_g,Food_Imports_Export_Value_Pct,Population,Population_Thousands,Population_Density,Median_Age,Population_Growth_Rate
PYF,French Polynesia,1998,1.6540851812648398,23.80227606801394,32.39293417756468,38.67421982838284,22.72704172288978,10.572853061713621,5.37432504377942,0.14506905870507,0.2598854891402414,0.3552102759518655,0.3155892547601715,0.2554843163172015,0.0706437885452286,0.2517718135448665,,,,,232891.0,232.891,63.217,23.236,1.595
PYF,French Polynesia,1999,1.6169900649431999,23.70292841318229,32.20073492694845,39.060733382130046,22.79256213211733,10.73883421659602,5.52933703341668,0.147281974641459,0.260475111982451,0.355552272732168,0.319797816061065,0.2581134399515985,0.0727832238396332,0.2494608527349719,,,,,236595.0,236.595,64.222,23.644,1.561
PYF,French Polynesia,2000,1.5827976677732902,23.60931091230391,32.00312316788239,39.43933728477442,22.85149620131426,10.900371711805839,5.68746937165431,0.149385935450714,0.2613243218913275,0.356410625906286,0.324199769715043,0.2609981157953345,0.075078512314304,0.2473791295986475,,,,,240337.0,240.337,65.238,24.053,1.577
PYF,French Polynesia,2001,1.55127118977399,23.52048159824289,31.79818005011285,39.81287351979469,22.90254469697704,11.05961309863909,5.85071572417854,0.15139361622356,0.2624949202149385,0.357837128617107,0.328787661945357,0.2641082553009185,0.0775332316939134,0.2456044930519075,2674.0,117.2,95.2,74.0,244097.0,244.097,66.259,24.457,1.529
PYF,French Polynesia,2002,1.5224787325475502,23.43251491188049,31.58913413664451,40.18156069955877,22.94409732415931,11.216283653944311,6.02117972145514,0.153242661935839,0.263954684814899,0.359841298892509,0.3335801311407654,0.2674580644818795,0.0801604185983363,0.2441449745361395,2699.0,119.0,96.7,117.0,247775.0,247.775,67.257,24.865,1.463
PYF,French Polynesia,2003,1.49637849246642,23.34338613818934,31.37237111703814,40.551297421160996,22.97727295806594,11.37302349530238,6.20100096779266,0.1548626383527584,0.265802482393471,0.3623935613164195,0.3386171836910865,0.2709843049728569,0.0828741937369763,0.2429850034913405,2703.0,121.5,98.0,134.0,251637.0,251.637,68.305,25.209,1.629
PYF,French Polynesia,2004,1.4729037816394401,23.25212759642694,31.14663874074039,40.9246801757922,23.00325664728549,11.53001407816682,6.39140945033988,0.1562797844429639,0.268027373403666,0.3654295519252685,0.343905857930224,0.274591627886817,0.0856445143116158,0.242139465702063,2743.0,122.1,98.5,143.0,255654.0,255.654,69.396,25.493,1.54
PYF,French Polynesia,2005,1.45249124744055,23.15718048760293,30.91246279327098,41.30188747481764,23.022909957157463,11.68727634805479,6.591701169605379,0.1574367851402089,0.2706566135161125,0.3689922699019995,0.3494305379878065,0.2782217314191215,0.0883777723533299,0.2416913810839445,2745.0,122.9,98.3,142.0,259507.0,259.507,70.442,25.794,1.452
PYF,French Polynesia,2006,1.43460286644796,23.05702805212205,30.66710774404327,41.68892965357696,23.037738222195188,11.84681496604326,6.804376465338489,0.158378681128566,0.273647758722352,0.3730281962316295,0.355162262691592,0.28170450247966,0.0910018308310599,0.2416153432022125,2748.0,122.4,99.2,150.0,263223.0,263.223,71.45,26.119,1.392
PYF,French Polynesia,2007,1.41926518788894,22.95227337274879,30.404944772233627,42.09148304108723,23.04931690522172,12.01071480348391,7.031451332381581,0.159138845605943,0.277007676320522,0.3775018400470969,0.3610027389462725,0.2849514970858779,0.093377515343398,0.2418459730843605,2769.0,122.6,99.3,170.0,266438.0,266.438,72.323,26.479,1.038
